email,frequency
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1884,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\241,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2254,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\804,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1710,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4415,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\970,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\778,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4803,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4327,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1708,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4563,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4114,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4633,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\258,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\163,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1243,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4540,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4737,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4036,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1485,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4760,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4459,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\206,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1700,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\554,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4706,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\931,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1074,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4462,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2032,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4509,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1537,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1849,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1784,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4339,1
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\946,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4489,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\972,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\839,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1383,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4374,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4268,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4523,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4242,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1143,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2209,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1466,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4312,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4595,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1778,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2165,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4087,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4326,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4084,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2310,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4360,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2566,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4263,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4394,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1490,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4019,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\441,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2274,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4451,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1867,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\547,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4749,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4464,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2115,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1033,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\762,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1610,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\3921,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2359,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4484,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1145,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2570,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\724,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\71,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1207,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\414,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4111,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\532,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4754,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1535,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2155,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\322,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2390,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4660,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\518,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\597,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1769,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1278,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\187,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1029,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4429,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4115,0
